# Why each corpus ROM admits zero descriptor tables, measured 2026-08-05.
#
# Produced by examples/probe_zero_admitted_cause.rs over all 287 ROMs.
# 246 ROMs fail with NoUniqueAdmittedTable{admitted:0}; this splits that
# bucket by CAUSE, because the causes need different fixes:
#
#   NO_CANDIDATES              229  the family search enumerated NOTHING.
#                                   The AKI descriptor SHAPE (stride set,
#                                   field layout, vram window) does not
#                                   occur in the ROM at all.
#   CANDIDATES_NONE_ADMITTED    10  candidates exist, none admitted.
#                                   EVERY one has best_mapped=0 -- not a
#                                   marginal floor miss; the regions do not
#                                   decode as loadable code, so lowering
#                                   min_records would admit garbage.
#   ADMITTED_<n>                48  n tables admitted (n=1 is unique).
#
# CONSEQUENCE: no admission-rule tuning reaches 80% of the corpus. Those
# ROMs need a DIFFERENT descriptor family (see vrom_family, or per-overlay
# headers as in Bomberman 64), not a looser AKI-family threshold.
#
# FOLLOW-UP MEASUREMENT (2026-08-05) -- the ceiling is lower than "a second
# family" implies, and this is the number that should drive planning:
#
#   186 / 229 (81%)  have NO CODE OVERLAYS AT ALL. >=95% of every JR RA sits
#                    in ONE leading resident span. Independently reproduced on
#                    Super Mario 64: 5,198 JR RA, 0.84 of them below 0x200000.
#                    No descriptor family can unlock these -- there is nothing
#                    to describe. They are single-bank games.
#    43 / 229 (19%)  genuinely multi-span, real overlays exist (ISS 2000,
#                    Pokemon Stadium, Sin & Punishment). Their descriptors are
#                    SCATTERED POINTER REFERENCES, not contiguous arrays --
#                    ISS 2000's off-bank code at 0x260000 is referenced by 550
#                    ROM words, none as an adjacent triple.
#     2 / 229        dmadata (OoT, MM): 16B [vromS][vromE][romS][romE], VROM-
#                    indirect and Yaz0-compressed (1457/1510 entries in OoT).
#     1 / 229        Rare deflate (Banjo-Kazooie).
#
# WHY THE SEARCH FINDS NOTHING: overlay_regions/mod.rs:371-378 hard-codes three
# ADJACENT words [rom_start][rom_end][vram_dest]. All 6 field permutations were
# tested across 224 ROMs and NO permutation helps; apparent hits are counter
# arrays with jrra=0 in their regions. Relaxing the field layout is worth 0
# ROMs and would admit garbage.
#
# So the realistic ceiling for table-shaped discovery is ~48 + 15-25 = 63-73 of
# 287, not 287. "All N64 ROM support" via one more descriptor family is not
# available; the single-bank majority needs no overlay discovery at all.
cause	rom	detail
ADMITTED_2	Rocket - Robot on Wheels (USA)	candidates=7
ADMITTED_2	WCW Nitro (USA)	candidates=11
ADMITTED_2	Yoshi's Story (Europe) (En,Fr,De)	candidates=14
ADMITTED_3	Bio F.R.E.A.K.S. (Europe)	candidates=6
ADMITTED_3	Deadly Arts (USA)	candidates=10
ADMITTED_3	John Romero's Daikatana (Europe) (En,Fr,De)	candidates=378
ADMITTED_3	Mario Party 2 (Europe) (En,Fr,De,Es,It)	candidates=12
ADMITTED_3	Pokemon Snap (France)	candidates=7
ADMITTED_4	MRC - Multi Racing Championship (USA)	candidates=20
ADMITTED_5	Super Smash Bros. (Europe) (En,Fr,De)	candidates=24
ADMITTED_6	Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	candidates=48
ADMITTED_8	Mario Party (Europe) (En,Fr,De)	candidates=18
CANDIDATES_NONE_ADMITTED	Bomberman Hero (Europe)	candidates=1 best_mapped=0 best_records=2 best_stride=0x18
CANDIDATES_NONE_ADMITTED	Cruis'n Exotica (USA)	candidates=5 best_mapped=0 best_records=27 best_stride=0xc
CANDIDATES_NONE_ADMITTED	Destruction Derby 64 (USA)	candidates=6 best_mapped=0 best_records=22 best_stride=0x20
CANDIDATES_NONE_ADMITTED	Goemon's Great Adventure (USA)	candidates=4 best_mapped=0 best_records=3 best_stride=0x14
CANDIDATES_NONE_ADMITTED	Hot Wheels - Turbo Racing (USA)	candidates=40 best_mapped=0 best_records=29 best_stride=0x1c
CANDIDATES_NONE_ADMITTED	Mia Hamm Soccer 64 (USA) (En,Es)	candidates=1 best_mapped=0 best_records=2 best_stride=0x10
CANDIDATES_NONE_ADMITTED	Mortal Kombat 4 (USA)	candidates=2 best_mapped=0 best_records=2 best_stride=0x18
CANDIDATES_NONE_ADMITTED	Roadsters (USA) (En,Fr,Es)	candidates=8 best_mapped=0 best_records=15 best_stride=0x18
CANDIDATES_NONE_ADMITTED	Snowboard Kids 2 (USA)	candidates=2 best_mapped=0 best_records=3 best_stride=0x24
CANDIDATES_NONE_ADMITTED	Superman (Europe) (En,Fr,De,Es,It,Nl)	candidates=8 best_mapped=0 best_records=3 best_stride=0x30
NO_CANDIDATES	007 - GoldenEye (Europe)	candidates=0
NO_CANDIDATES	1080 TenEighty Snowboarding (Japan, USA) (En,Ja)	candidates=0
NO_CANDIDATES	AeroGauge (USA)	candidates=0
NO_CANDIDATES	All Star Tennis 99 (USA)	candidates=0
NO_CANDIDATES	Armorines - Project S.W.A.R.M. (USA)	candidates=0
NO_CANDIDATES	Army Men - Air Combat (USA)	candidates=0
NO_CANDIDATES	Army Men - Sarge's Heroes (USA)	candidates=0
NO_CANDIDATES	Army Men - Sarge's Heroes 2 (USA)	candidates=0
NO_CANDIDATES	Asteroids Hyper 64 (USA)	candidates=0
NO_CANDIDATES	Automobili Lamborghini (USA)	candidates=0
NO_CANDIDATES	Bakuretsu Muteki Bangaioh (Japan)	candidates=0
NO_CANDIDATES	Banjo-Kazooie (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Banjo-Tooie (Europe) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	Bassmasters 2000 (USA)	candidates=0
NO_CANDIDATES	BattleTanx (USA)	candidates=0
NO_CANDIDATES	BattleTanx - Global Assault (USA)	candidates=0
NO_CANDIDATES	Battlezone - Rise of the Black Dogs (USA)	candidates=0
NO_CANDIDATES	Beetle Adventure Racing! (USA) (En,Fr,De)	candidates=0
NO_CANDIDATES	Blast Corps (USA) (Rev A)	candidates=0
NO_CANDIDATES	Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	Body Harvest (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Bomberman 64 (USA)	candidates=0
NO_CANDIDATES	Bomberman 64 - The Second Attack! (USA)	candidates=0
NO_CANDIDATES	Brunswick Circuit Pro Bowling (USA)	candidates=0
NO_CANDIDATES	Buck Bumble (USA)	candidates=0
NO_CANDIDATES	Bug's Life, A (France)	candidates=0
NO_CANDIDATES	Bust-A-Move '99 (USA)	candidates=0
NO_CANDIDATES	Bust-A-Move 2 - Arcade Edition (USA)	candidates=0
NO_CANDIDATES	California Speed (USA)	candidates=0
NO_CANDIDATES	Carmageddon 64 (Europe) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	Castlevania - Legacy of Darkness (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Centre Court Tennis (Europe)	candidates=0
NO_CANDIDATES	Chameleon Twist (USA) (Rev A)	candidates=0
NO_CANDIDATES	Chameleon Twist 2 (USA)	candidates=0
NO_CANDIDATES	Charlie Blast's Territory (USA)	candidates=0
NO_CANDIDATES	Chopper Attack (USA)	candidates=0
NO_CANDIDATES	Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)	candidates=0
NO_CANDIDATES	Clay Fighter - Sculptor's Cut (USA)	candidates=0
NO_CANDIDATES	Clay Fighter 63 1-3 (USA)	candidates=0
NO_CANDIDATES	Command & Conquer (Europe) (En,Fr)	candidates=0
NO_CANDIDATES	Conker's Bad Fur Day (U) [Trad-FR]	candidates=0
NO_CANDIDATES	Conker's Bad Fur Day (Uncensored)	candidates=0
NO_CANDIDATES	Cruis'n World (USA)	candidates=0
NO_CANDIDATES	CyberTiger (USA)	candidates=0
NO_CANDIDATES	Dark Rift (USA)	candidates=0
NO_CANDIDATES	Densha de Go! 64 (Japan)	candidates=0
NO_CANDIDATES	Diddy Kong Racing (USA) (En,Fr) (Rev A)	candidates=0
NO_CANDIDATES	Dinomod_Enhanced_2022-09-08	candidates=0
NO_CANDIDATES	Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Donkey Kong 64 (Europe) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	Doom 64 (USA) (Rev A)	candidates=0
NO_CANDIDATES	Dr. Mario 64 (USA)	candidates=0
NO_CANDIDATES	Dragon Sword 64 (USA) (Proto)	candidates=0
NO_CANDIDATES	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)	candidates=0
NO_CANDIDATES	Duke Nukem - Zero Hour (France)	candidates=0
NO_CANDIDATES	Duke Nukem 64 (France)	candidates=0
NO_CANDIDATES	ECW Hardcore Revolution (USA)	candidates=0
NO_CANDIDATES	Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Excitebike 64 (USA) (Rev A)	candidates=0
NO_CANDIDATES	Extreme-G (USA)	candidates=0
NO_CANDIDATES	F-1 World Grand Prix (France)	candidates=0
NO_CANDIDATES	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	F-Zero X (USA)	candidates=0
NO_CANDIDATES	F1 Pole Position 64 (USA) (En,Fr,De)	candidates=0
NO_CANDIDATES	F1 Racing Championship (Europe) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)	candidates=0
NO_CANDIDATES	FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)	candidates=0
NO_CANDIDATES	FIFA Soccer 64 (USA) (En,Fr,De)	candidates=0
NO_CANDIDATES	Fighters Destiny (USA)	candidates=0
NO_CANDIDATES	Fighting Force 64 (USA)	candidates=0
NO_CANDIDATES	Forsaken 64 (USA)	candidates=0
NO_CANDIDATES	Fox Sports College Hoops '99 (USA)	candidates=0
NO_CANDIDATES	Gauntlet Legends (Europe)	candidates=0
NO_CANDIDATES	Glover (USA)	candidates=0
NO_CANDIDATES	Harvest Moon 64 (USA)	candidates=0
NO_CANDIDATES	Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	Hexen (France)	candidates=0
NO_CANDIDATES	Hybrid Heaven (USA)	candidates=0
NO_CANDIDATES	Hydro Thunder (USA)	candidates=0
NO_CANDIDATES	Iggy's Reckin' Balls (USA)	candidates=0
NO_CANDIDATES	In-Fisherman - Bass Hunter 64 (USA)	candidates=0
NO_CANDIDATES	Indiana Jones and the Infernal Machine (USA)	candidates=0
NO_CANDIDATES	Indy Racing 2000 (USA)	candidates=0
NO_CANDIDATES	International Superstar Soccer '98 (USA)	candidates=0
NO_CANDIDATES	International Superstar Soccer 2000 (Europe) (Fr,It)	candidates=0
NO_CANDIDATES	International Superstar Soccer 64 (USA)	candidates=0
NO_CANDIDATES	International Track & Field 2000 (USA)	candidates=0
NO_CANDIDATES	Jeremy McGrath Supercross 2000 (USA)	candidates=0
NO_CANDIDATES	Jet Force Gemini (Europe) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	Ken Griffey Jr.'s Slugfest (USA)	candidates=0
NO_CANDIDATES	Killer Instinct Gold (USA) (Rev B)	candidates=0
NO_CANDIDATES	Knockout Kings 2000 (USA)	candidates=0
NO_CANDIDATES	Kobe Bryant's NBA Courtside (USA)	candidates=0
NO_CANDIDATES	LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	candidates=0
NO_CANDIDATES	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)	candidates=0
NO_CANDIDATES	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A)	candidates=0
NO_CANDIDATES	Lode Runner 3-D (USA)	candidates=0
NO_CANDIDATES	Lylat Wars (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Mace - The Dark Age (USA)	candidates=0
NO_CANDIDATES	Madden Football 64 (USA)	candidates=0
NO_CANDIDATES	Magical Tetris Challenge (USA)	candidates=0
NO_CANDIDATES	Mario Kart 64 (Europe) (Rev A)	candidates=0
NO_CANDIDATES	Mario Tennis (Europe)	candidates=0
NO_CANDIDATES	Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Micro Machines 64 Turbo (USA)	candidates=0
NO_CANDIDATES	Midway's Greatest Arcade Hits - Volume 1 (USA)	candidates=0
NO_CANDIDATES	Mike Piazza's StrikeZone (USA)	candidates=0
NO_CANDIDATES	Milo's Astro Lanes (USA)	candidates=0
NO_CANDIDATES	Mischief Makers (USA) (Rev A)	candidates=0
NO_CANDIDATES	Mission Impossible (France)	candidates=0
NO_CANDIDATES	Monaco Grand Prix (USA)	candidates=0
NO_CANDIDATES	Monster Truck Madness 64 (USA)	candidates=0
NO_CANDIDATES	Mortal Kombat Mythologies - Sub-Zero (USA)	candidates=0
NO_CANDIDATES	Ms. Pac-Man - Maze Madness (USA)	candidates=0
NO_CANDIDATES	Mystical Ninja Starring Goemon (Europe)	candidates=0
NO_CANDIDATES	NASCAR 2000 (USA)	candidates=0
NO_CANDIDATES	NASCAR 99 (USA)	candidates=0
NO_CANDIDATES	NBA Courtside 2 featuring Kobe Bryant (USA)	candidates=0
NO_CANDIDATES	NBA Hangtime (USA)	candidates=0
NO_CANDIDATES	NBA Jam 2000 (USA)	candidates=0
NO_CANDIDATES	NBA Jam 99 (USA)	candidates=0
NO_CANDIDATES	NBA Live 2000 (USA) (En,Fr,De,Es)	candidates=0
NO_CANDIDATES	NBA Live 99 (USA) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	NBA Showtime - NBA on NBC (USA)	candidates=0
NO_CANDIDATES	NBA in the Zone '98 (USA)	candidates=0
NO_CANDIDATES	NBA in the Zone '99 (USA)	candidates=0
NO_CANDIDATES	NBA in the Zone 2000 (USA)	candidates=0
NO_CANDIDATES	NHL 99 (USA)	candidates=0
NO_CANDIDATES	NHL Breakaway 98 (USA)	candidates=0
NO_CANDIDATES	NHL Breakaway 99 (USA)	candidates=0
NO_CANDIDATES	Namco Museum 64 (USA)	candidates=0
NO_CANDIDATES	New Tetris, The (USA)	candidates=0
NO_CANDIDATES	Nightmare Creatures (USA)	candidates=0
NO_CANDIDATES	Nuclear Strike 64 (USA)	candidates=0
NO_CANDIDATES	Olympic Hockey 98 (USA)	candidates=0
NO_CANDIDATES	PGA European Tour (USA)	candidates=0
NO_CANDIDATES	Paperboy (USA)	candidates=0
NO_CANDIDATES	Penny Racers (USA)	candidates=0
NO_CANDIDATES	Perfect Dark (Europe) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Pilotwings 64 (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Pokemon Puzzle League (France)	candidates=0
NO_CANDIDATES	Pokemon Stadium (France)	candidates=0
NO_CANDIDATES	Pokemon Stadium 2 (France)	candidates=0
NO_CANDIDATES	Polaris SnoCross (USA)	candidates=0
NO_CANDIDATES	Power Rangers - Lightspeed Rescue (USA)	candidates=0
NO_CANDIDATES	Powerpuff Girls, The - Chemical X-Traction (USA)	candidates=0
NO_CANDIDATES	Puyo Puyo 4 - Puyo Puyon Party (Japan)	candidates=0
NO_CANDIDATES	Quake 64 (USA)	candidates=0
NO_CANDIDATES	Quake II (USA)	candidates=0
NO_CANDIDATES	RR64 - Ridge Racer 64 (USA)	candidates=0
NO_CANDIDATES	Rampage - World Tour (USA)	candidates=0
NO_CANDIDATES	Rampage 2 - Universal Tour (USA)	candidates=0
NO_CANDIDATES	Rat Attack! (USA) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Razmoket, Les - La Chasse aux Tresors (France)	candidates=0
NO_CANDIDATES	Razor Freestyle Scooter (USA)	candidates=0
NO_CANDIDATES	Re-Volt (USA)	candidates=0
NO_CANDIDATES	Ready 2 Rumble Boxing (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Ready 2 Rumble Boxing (USA)	candidates=0
NO_CANDIDATES	Resident Evil 2 (Europe) (En,Fr)	candidates=0
NO_CANDIDATES	Road Rash 64 (USA)	candidates=0
NO_CANDIDATES	Robotron 64 (USA)	candidates=0
NO_CANDIDATES	Rugrats in Paris - The Movie (Europe)	candidates=0
NO_CANDIDATES	Rush 2 - Extreme Racing USA (USA)	candidates=0
NO_CANDIDATES	S.C.A.R.S. (USA)	candidates=0
NO_CANDIDATES	San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev A)	candidates=0
NO_CANDIDATES	San Francisco Rush 2049 (USA)	candidates=0
NO_CANDIDATES	Scooby-Doo! - Classic Creep Capers (Europe)	candidates=0
NO_CANDIDATES	Shadow Man (France)	candidates=0
NO_CANDIDATES	Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)	candidates=0
NO_CANDIDATES	Sin and Punishment - Successor of the Earth (Japan) [Trad-En]	candidates=0
NO_CANDIDATES	Snowboard Kids (USA)	candidates=0
NO_CANDIDATES	South Park (Europe) (En,Fr,Es)	candidates=0
NO_CANDIDATES	South Park - Chef's Luv Shack (USA)	candidates=0
NO_CANDIDATES	South Park Rally (Europe)	candidates=0
NO_CANDIDATES	Space Invaders (USA)	candidates=0
NO_CANDIDATES	SpaceStation Silicon Valley (USA)	candidates=0
NO_CANDIDATES	Spider-Man (USA)	candidates=0
NO_CANDIDATES	Star Soldier - Vanishing Earth (USA)	candidates=0
NO_CANDIDATES	Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev A)	candidates=0
NO_CANDIDATES	Star Wars - Shadows of the Empire (Europe)	candidates=0
NO_CANDIDATES	Star Wars Episode I - Battle for Naboo (Europe)	candidates=0
NO_CANDIDATES	Star Wars Episode I - Racer (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	StarCraft 64 (USA)	candidates=0
NO_CANDIDATES	Starshot - Space Circus Fever (USA) (En,Fr,Es)	candidates=0
NO_CANDIDATES	Stunt Racer 64 (USA)	candidates=0
NO_CANDIDATES	Super Bowling (USA)	candidates=0
NO_CANDIDATES	Super Mario 64 (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Super Mario 64 (USA)	candidates=0
NO_CANDIDATES	Supercross 2000 (USA)	candidates=0
NO_CANDIDATES	Taz Express (Europe) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	Tetrisphere (USA)	candidates=0
NO_CANDIDATES	Tigger's Honey Hunt (USA)	candidates=0
NO_CANDIDATES	Tom Clancy's Rainbow Six (France)	candidates=0
NO_CANDIDATES	Tom and Jerry in Fists of Furry (Europe) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	Tonic Trouble (Europe) (En,Fr,De,Es,It)	candidates=0
NO_CANDIDATES	Tony Hawk's Pro Skater (USA) (Rev A)	candidates=0
NO_CANDIDATES	Tony Hawk's Pro Skater 2 (USA)	candidates=0
NO_CANDIDATES	Tony Hawk's Pro Skater 3 (USA)	candidates=0
NO_CANDIDATES	Top Gear Hyper-Bike (USA)	candidates=0
NO_CANDIDATES	Top Gear Overdrive (USA)	candidates=0
NO_CANDIDATES	Top Gear Rally 2 (USA)	candidates=0
NO_CANDIDATES	Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)	candidates=0
NO_CANDIDATES	Transformers - Beast Wars Transmetals (USA)	candidates=0
NO_CANDIDATES	Triple Play 2000 (USA)	candidates=0
NO_CANDIDATES	Turok - Dinosaur Hunter (Europe) (Rev A)	candidates=0
NO_CANDIDATES	Turok - Rage Wars (Europe) (En,Fr,It)	candidates=0
NO_CANDIDATES	Turok 2 - Seeds of Evil (Europe) (En,Fr,Es,It)	candidates=0
NO_CANDIDATES	Turok 3 - Shadow of Oblivion (Europe)	candidates=0
NO_CANDIDATES	V-Rally Edition 99 (Europe) (En,Fr,De)	candidates=0
NO_CANDIDATES	Viewpoint 2064 (USA) (Unreleased)	candidates=0
NO_CANDIDATES	Vigilante 8 (France)	candidates=0
NO_CANDIDATES	Vigilante 8 - 2nd Offense (USA)	candidates=0
NO_CANDIDATES	Virtual Pool 64 (USA)	candidates=0
NO_CANDIDATES	WCW Backstage Assault (USA)	candidates=0
NO_CANDIDATES	WCW Mayhem (USA)	candidates=0
NO_CANDIDATES	WWF Attitude (USA)	candidates=0
NO_CANDIDATES	WWF War Zone (USA)	candidates=0
NO_CANDIDATES	Waialae Country Club - True Golf Classics (USA) (Rev A)	candidates=0
NO_CANDIDATES	War Gods (Europe)	candidates=0
NO_CANDIDATES	Wayne Gretzky's 3D Hockey '98 (USA)	candidates=0
NO_CANDIDATES	Wayne Gretzky's 3D Hockey (USA) (Rev A)	candidates=0
NO_CANDIDATES	Wetrix (USA) (En,Fr,De,Es,It,Nl)	candidates=0
NO_CANDIDATES	WinBack - Covert Operations (USA)	candidates=0
NO_CANDIDATES	Wipeout 64 (Europe)	candidates=0
NO_CANDIDATES	World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)	candidates=0
NO_CANDIDATES	World Driver Championship (USA)	candidates=0
NO_CANDIDATES	Worms Armageddon (USA) (En,Fr,Es)	candidates=0
NO_CANDIDATES	Xena - Warrior Princess - The Talisman of Fate (Europe)	candidates=0
